,Titles,urls,Ratings,Ratings_counts,Prices,Discount_prct,Qty_sold_last_month_,Series,Colour,Form Factor,Standing screen display size,Screen Resolution,Resolution,Batteries,Item model number,Processor Brand,Processor Type,Processor Speed,Processor Count,Memory Technology,Computer Memory Type,Maximum Memory Supported,Hard Drive Size,Hard Disk Description,Speaker Description,Graphics Coprocessor,Graphics Chipset Brand,Graphics Card Description,Graphics RAM Type,Graphics Card Interface,Connectivity Type,Wireless Type,Number of HDMI Ports,Optical Drive Type,Operating System,Are Batteries Included,Lithium Battery Energy Content,Number of Lithium Ion Cells,Included Components,Item Weight,Prices_Category,Processor Speed_Base
89,Lenovo|IdeaPad Slim 3|15ABR8|Ryzen 5||512 GB|SSD15.6 Inches,https://www.amazon.in/Lenovo-IdeaPad-Integrated-Graphics-82XM00UGIN/dp/B0FBX94V45/ref=sr_1_86?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9._DNwNdzeg-WDY836nwN_d-VuLF-NcsUbHmWHwoLqXQkGgRDGy1mMin7ZyBLhPSoJxZeHHxJnyQyxaLdG6Lpt7S3eyG6Itk-MJPmiw3BdIZJq88a2OQ8WlrIPbuk8OxG-GZvhFlx_AR-iPOEAL1MEcZ4Brj3SUJoWIkiYpBF2zmUed9iax5pwP1j-q6Wy4mjQtUR0fHvn4yu6gErYnEQCO3H3PCF3sLiv7a1XgR8LQz4.TFGnHtYshT57Lkb3gWRuqAsdPuVRkA0wAURCHz8O0gg&dib_tag=se&keywords=lenovo+laptops&qid=1768082276&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-86&xpid=IzsIf9sZEUUR3,3.9,9,43000,55,0,IdeaPad Slim 3,Arctic Grey,Thin & Light,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1 D batteries required. (included),15ABR8,AMD,Ryzen 5,2.3,6.0,DDR4,DDR4 SDRAM,16 GB,512 GB,SSD,"User-facing stereo speakers, 1.5W x2, optimized with Dolby Audio",Integrated AMD Radeon Graphics,AMD,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",,1.0,No Optical Drive,Windows 11 Home,Yes,47 Watt Hours,4.0,"Laptop, Power Adapter, User Guide",1 kg 620 g,Medium,2.3
90,Lenovo|Lenovo 14 (2025)|B0F6LS2CGB|Amd Ryzen 3 7320U||512 GB|SSD14 Inches,https://www.amazon.in/Lenovo-14-Ryzen-7320U-Quad/dp/B0F6LS2CGB/ref=sr_1_87?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9._DNwNdzeg-WDY836nwN_d-VuLF-NcsUbHmWHwoLqXQkGgRDGy1mMin7ZyBLhPSoJxZeHHxJnyQyxaLdG6Lpt7S3eyG6Itk-MJPmiw3BdIZJq88a2OQ8WlrIPbuk8OxG-GZvhFlx_AR-iPOEAL1MEcZ4Brj3SUJoWIkiYpBF2zmUed9iax5pwP1j-q6Wy4mjQtUR0fHvn4yu6gErYnEQCO3H3PCF3sLiv7a1XgR8LQz4.TFGnHtYshT57Lkb3gWRuqAsdPuVRkA0wAURCHz8O0gg&dib_tag=se&keywords=lenovo+laptops&qid=1768082276&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-87&xpid=IzsIf9sZEUUR3,5.0,4,36999,42,0,Lenovo 14 (2025),Silver,Clamshell,14 Inches,1920 x 1080 pixels,1920 x 1080,1 12V batteries required. (included),B0F6LS2CGB,,Amd Ryzen 3 7320U,,4.0,,DDR4 SDRAM,8 GB,512 GB,SSD,,,,Dedicated,,,,,,,Windows 11 Home,Yes,65 Watt Hours,2.0,,1 kg 400 g,Low,-1.0
91,Lenovo|IdeaPad Slim 3|15AHP10|AMD Ryzen 7||512 GB|SSD15.3 Inches,https://www.amazon.in/Lenovo-IdeaPad-Windows-Keyboard-83KA0048IN/dp/B0FDKHV466/ref=sr_1_88?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9._DNwNdzeg-WDY836nwN_d-VuLF-NcsUbHmWHwoLqXQkGgRDGy1mMin7ZyBLhPSoJxZeHHxJnyQyxaLdG6Lpt7S3eyG6Itk-MJPmiw3BdIZJq88a2OQ8WlrIPbuk8OxG-GZvhFlx_AR-iPOEAL1MEcZ4Brj3SUJoWIkiYpBF2zmUed9iax5pwP1j-q6Wy4mjQtUR0fHvn4yu6gErYnEQCO3H3PCF3sLiv7a1XgR8LQz4.TFGnHtYshT57Lkb3gWRuqAsdPuVRkA0wAURCHz8O0gg&dib_tag=se&keywords=lenovo+laptops&qid=1768082276&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-88&xpid=IzsIf9sZEUUR3,4.7,8,67490,21,0,IdeaPad Slim 3,Luna Grey,Thin & Light,15.3 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,1 D batteries required. (included),15AHP10,AMD,AMD Ryzen 7,3.3,8.0,DDR5,DDR5 RAM,24 GB,512 GB,SSD,"User-facing stereo speakers, 2W x2, optimized with Dolby Audio",Integrated AMD Radeon 780M Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,802.11ax,1.0,No Optical Drive,Windows 11 Home,Yes,50 Watt Hours,4.0,"Laptop, Power Adapter, User guide",1 kg 590 g,High,3.3
92,Lenovo|IdeaPad 3|15IAU7|Core i3||512 GB|SSD15.6 Inches,https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Windows-82RK00VWIN/dp/B0CR7WG86N/ref=sr_1_89?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9._DNwNdzeg-WDY836nwN_d-VuLF-NcsUbHmWHwoLqXQkGgRDGy1mMin7ZyBLhPSoJxZeHHxJnyQyxaLdG6Lpt7S3eyG6Itk-MJPmiw3BdIZJq88a2OQ8WlrIPbuk8OxG-GZvhFlx_AR-iPOEAL1MEcZ4Brj3SUJoWIkiYpBF2zmUed9iax5pwP1j-q6Wy4mjQtUR0fHvn4yu6gErYnEQCO3H3PCF3sLiv7a1XgR8LQz4.TFGnHtYshT57Lkb3gWRuqAsdPuVRkA0wAURCHz8O0gg&dib_tag=se&keywords=lenovo+laptops&qid=1768082276&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-89&xpid=IzsIf9sZEUUR3,4.1,152,35990,22,0,IdeaPad 3,Arctic Grey,Ultra-Portable,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1 Lithium Polymer batteries required. (included),15IAU7,Intel,Core i3,1.2,6.0,DDR4,DDR4 SDRAM,16 GB,512 GB,SSD,"Stereo speakers, 1.5W x2, Dolby Audio",Intel UHD Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,"Bluetooth, Wi-Fi",Bluetooth,1.0,No Optical Drive,"Windows 11 Home 64, English",Yes,45 Watt Hours,3.0,"Laptop, Power Adapter, User Manual",1 kg 600 g,Low,1.2
93,Lenovo|Legion Pro 5|16AFR10|Ryzen 9||1 TB|SSD16 Inches,https://www.amazon.in/Lenovo-Legion-Windows-83F20037IN-Powered/dp/B0FY3194VD/ref=sr_1_90?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9._DNwNdzeg-WDY836nwN_d-VuLF-NcsUbHmWHwoLqXQkGgRDGy1mMin7ZyBLhPSoJxZeHHxJnyQyxaLdG6Lpt7S3eyG6Itk-MJPmiw3BdIZJq88a2OQ8WlrIPbuk8OxG-GZvhFlx_AR-iPOEAL1MEcZ4Brj3SUJoWIkiYpBF2zmUed9iax5pwP1j-q6Wy4mjQtUR0fHvn4yu6gErYnEQCO3H3PCF3sLiv7a1XgR8LQz4.TFGnHtYshT57Lkb3gWRuqAsdPuVRkA0wAURCHz8O0gg&dib_tag=se&keywords=lenovo+laptops&qid=1768082276&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-90&xpid=IzsIf9sZEUUR3,,0,194510,27,0,Legion Pro 5,Eclipse Black,Gaming Laptop,16 Inches,2560 x 1600 pixels,2560 x 1600 Pixels,1 P76 batteries required. (included),16AFR10,AMD,Ryzen 9,2.5,16.0,DDR5,DDR5 RAM,32 GB,1 TB,SSD,"Stereo speakers, 2W x2, audio by HARMAN, optimized with Nahimic Audio",NVIDIA RTX 5060,NVIDIA,Dedicated,Shared,PCI Express,,802.11ax,1.0,Not Available,Windows 11 Home,Yes,80 Watt Hours,5.0,"Laptop, Power Adapter, User Guide",2 kg 300 g,Premium,2.5
94,Lenovo|IdeaPad|15IAH8|Core i5 Family||512 GB|SSD39.6 Centimetres,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4OTgyMjk1OTMwNTEwNzI2OjE3NjgwODIyNzY6c3BfbXRmOjMwMDQ3MjU0MDU5NzUzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-12450H-Windows-83ER00KPIN%2Fdp%2FB0DR96PF63%2Fref%3Dsr_1_91_sspa%3Fcrid%3D3GZCZ3LUIW710%26dib%3DeyJ2IjoiMSJ9._DNwNdzeg-WDY836nwN_d-VuLF-NcsUbHmWHwoLqXQkGgRDGy1mMin7ZyBLhPSoJxZeHHxJnyQyxaLdG6Lpt7S3eyG6Itk-MJPmiw3BdIZJq88a2OQ8WlrIPbuk8OxG-GZvhFlx_AR-iPOEAL1MEcZ4Brj3SUJoWIkiYpBF2zmUed9iax5pwP1j-q6Wy4mjQtUR0fHvn4yu6gErYnEQCO3H3PCF3sLiv7a1XgR8LQz4.TFGnHtYshT57Lkb3gWRuqAsdPuVRkA0wAURCHz8O0gg%26dib_tag%3Dse%26keywords%3Dlenovo%2Blaptops%26qid%3D1768082276%26refinements%3Dp_123%253A391242%26rnid%3D91049095031%26sprefix%3Dlenovo%2Blaptops%252Caps%252C392%26sr%3D8-91-spons%26xpid%3DIzsIf9sZEUUR3%26aref%3DiejkyDeOsy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=iejkyDeOsy&sp_cr=ZAZ,3.9,320,50850,30,100,IdeaPad,"i5-12th Gen | 15.6""",Ultra-Portable,39.6 Centimetres,1920 x 1080 pixels,1920 x 1080,1 D batteries required. (included),15IAH8,Intel,Core i5 Family,2,5.0,Lpddr 5,DDR5 RAM,16 GB,512 GB,SSD,"Stereo speakers, 1.5W x2, Dolby Audio",Intel UHD Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,"802.11ax, Bluetooth",1.0,No Optical Drive,Windows 11,Yes,47 Watt Hours,4.0,Laptop,1 kg 370 g,Medium,2.0
95,Lenovo|IdeaPad Slim 3|15IAH8|Core i5||512 GB|SSD15.6 Inches,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4OTgyMjk1OTMwNTEwNzI2OjE3NjgwODIyNzY6c3BfbXRmOjMwMDY0MzgwODkzOTkzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-12450H-Anti-glare-83ER00MDIN%2Fdp%2FB0FH71SN5N%2Fref%3Dsr_1_92_sspa%3Fcrid%3D3GZCZ3LUIW710%26dib%3DeyJ2IjoiMSJ9._DNwNdzeg-WDY836nwN_d-VuLF-NcsUbHmWHwoLqXQkGgRDGy1mMin7ZyBLhPSoJxZeHHxJnyQyxaLdG6Lpt7S3eyG6Itk-MJPmiw3BdIZJq88a2OQ8WlrIPbuk8OxG-GZvhFlx_AR-iPOEAL1MEcZ4Brj3SUJoWIkiYpBF2zmUed9iax5pwP1j-q6Wy4mjQtUR0fHvn4yu6gErYnEQCO3H3PCF3sLiv7a1XgR8LQz4.TFGnHtYshT57Lkb3gWRuqAsdPuVRkA0wAURCHz8O0gg%26dib_tag%3Dse%26keywords%3Dlenovo%2Blaptops%26qid%3D1768082276%26refinements%3Dp_123%253A391242%26rnid%3D91049095031%26sprefix%3Dlenovo%2Blaptops%252Caps%252C392%26sr%3D8-92-spons%26xpid%3DIzsIf9sZEUUR3%26aref%3DSO3UiQd1fK%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=SO3UiQd1fK&sp_cr=ZAZ,4.2,82,50333,29,100,IdeaPad Slim 3,Arctic Grey,Thin & Light,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1 D batteries required. (included),15IAH8,Intel,Core i5,2,8.0,DDR5,DDR5 RAM,16 GB,512 GB,SSD,"Stereo speakers, 1.5W x2, Dolby Audio",Intel UHD Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,"Bluetooth, Wi-Fi",Bluetooth,1.0,No Optical Drive,"Windows 11 Home 64, English",Yes,47 Watt Hours,3.0,"Laptop, Power Adapter, User Manual",1 kg 620 g,Medium,2.0
96,Lenovo|V15|V15|Core i5-1235U||16 GB|SSD15.6 Inches,https://www.amazon.in/Lenovo-V15-Display-Graphics-Warranty/dp/B0DBLGQVD9/ref=sr_1_93?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9._DNwNdzeg-WDY836nwN_d-VuLF-NcsUbHmWHwoLqXQkGgRDGy1mMin7ZyBLhPSoJxZeHHxJnyQyxaLdG6Lpt7S3eyG6Itk-MJPmiw3BdIZJq88a2OQ8WlrIPbuk8OxG-GZvhFlx_AR-iPOEAL1MEcZ4Brj3SUJoWIkiYpBF2zmUed9iax5pwP1j-q6Wy4mjQtUR0fHvn4yu6gErYnEQCO3H3PCF3sLiv7a1XgR8LQz4.TFGnHtYshT57Lkb3gWRuqAsdPuVRkA0wAURCHz8O0gg&dib_tag=se&keywords=lenovo+laptops&qid=1768082276&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-93&xpid=IzsIf9sZEUUR3,3.8,125,52999,33,0,V15,Black,Netbook,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels Per Inch,2 12V batteries required. (included),V15,Intel,Core i5-1235U,4.4,1.0,LPDDR4,DDR4 SDRAM,32 GB,16 GB,SSD,Dolby Audio,Intel Iris Xe Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,Bluetooth,1.0,,Windows 11 Home,Yes,65 Watt Hours,2.0,"Adaptor, Laptop, Laptop supporting packing, Manual",1 kg 600 g,Medium,4.4
97,Lenovo|ThinkBook 16|21KKA0G1IN|AMD Ryzen 7|16 GB|512 GB|SSD16 Inches,https://www.amazon.in/Lenovo-Thinkbook-Antiglare-Windows-21KKA0G1IN/dp/B0DFHHFLRJ/ref=sr_1_94?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9._DNwNdzeg-WDY836nwN_d-VuLF-NcsUbHmWHwoLqXQkGgRDGy1mMin7ZyBLhPSoJxZeHHxJnyQyxaLdG6Lpt7S3eyG6Itk-MJPmiw3BdIZJq88a2OQ8WlrIPbuk8OxG-GZvhFlx_AR-iPOEAL1MEcZ4Brj3SUJoWIkiYpBF2zmUed9iax5pwP1j-q6Wy4mjQtUR0fHvn4yu6gErYnEQCO3H3PCF3sLiv7a1XgR8LQz4.TFGnHtYshT57Lkb3gWRuqAsdPuVRkA0wAURCHz8O0gg&dib_tag=se&keywords=lenovo+laptops&qid=1768082276&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-94&xpid=IzsIf9sZEUUR3,4.4,51,56000,25,0,ThinkBook 16,Light Silver,Ultra-Portable,16 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,1 AAA batteries required. (included),21KKA0G1IN,AMD,AMD Ryzen 7,2,8.0,DDR4,DDR4 SDRAM,64 GB,512 GB,SSD,Stereo speakers,Integrated AMD Radeon graphics,AMD,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",802.11ax,1.0,No Optical Drive,Windows 11 Home,Yes,45 Watt Hours,3.0,"Laptop, User manual, Adapter",1 kg 700 g,Medium,2.0
98,Lenovo|Yoga Pro 9|16IMH9|Intel Core Ultra 9|32|1 TB|SSD16 Inches,https://www.amazon.in/Lenovo-Built-Touchscreen-GamePass-83DN004VIN/dp/B0D4TY8Q16/ref=sr_1_95?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9._DNwNdzeg-WDY836nwN_d-VuLF-NcsUbHmWHwoLqXQkGgRDGy1mMin7ZyBLhPSoJxZeHHxJnyQyxaLdG6Lpt7S3eyG6Itk-MJPmiw3BdIZJq88a2OQ8WlrIPbuk8OxG-GZvhFlx_AR-iPOEAL1MEcZ4Brj3SUJoWIkiYpBF2zmUed9iax5pwP1j-q6Wy4mjQtUR0fHvn4yu6gErYnEQCO3H3PCF3sLiv7a1XgR8LQz4.TFGnHtYshT57Lkb3gWRuqAsdPuVRkA0wAURCHz8O0gg&dib_tag=se&keywords=lenovo+laptops&qid=1768082276&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-95&xpid=IzsIf9sZEUUR3,3.5,6,181400,28,0,Yoga Pro 9,Luna Grey,Thin & Light,16 Inches,3200 x 2000 pixels,3200x2000 Pixels,1 Lithium Polymer batteries required. (included),16IMH9,Intel,Intel Core Ultra 9,5.1,16.0,Lpddr 5,DDR5 RAM,32 GB,1 TB,SSD,"6 stereo speakers, 2W x4 (dual side woofers), 2W x2 (tweeters), optimized with Dolby Atmos, Smart Amplifier (AMP)",NVIDIA RTX 4050,NVIDIA,Dedicated,Shared,PCI Express,Wi-Fi,802.11n,1.0,No Optical Drive,Windows 11 Home,Yes,84 Watt Hours,4.0,"Laptop,Power Adapter,User Guide",2 kg,Premium,5.1
99,Lenovo|IdeaPad 5 2-in-1|14AKP10|AMD Ryzen 7||1 TB|SSD14 Inches,https://www.amazon.in/Lenovo-IdeaPad-Windows-83KT000LIN-Convertible/dp/B0FDKH95BB/ref=sr_1_96?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9._DNwNdzeg-WDY836nwN_d-VuLF-NcsUbHmWHwoLqXQkGgRDGy1mMin7ZyBLhPSoJxZeHHxJnyQyxaLdG6Lpt7S3eyG6Itk-MJPmiw3BdIZJq88a2OQ8WlrIPbuk8OxG-GZvhFlx_AR-iPOEAL1MEcZ4Brj3SUJoWIkiYpBF2zmUed9iax5pwP1j-q6Wy4mjQtUR0fHvn4yu6gErYnEQCO3H3PCF3sLiv7a1XgR8LQz4.TFGnHtYshT57Lkb3gWRuqAsdPuVRkA0wAURCHz8O0gg&dib_tag=se&keywords=lenovo+laptops&qid=1768082276&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-96&xpid=IzsIf9sZEUUR3,4.3,13,95990,28,0,IdeaPad 5 2-in-1,Luna Grey,Convertible,14 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,1 D batteries required. (included),14AKP10,AMD,AMD Ryzen 7,2,8.0,DDR5,DDR5 RAM,24 GB,1 TB,SSD,"Stereo speakers, 2W x2, optimized with Dolby Audio",Integrated AMD Radeon 860M Graphics,AMD,Integrated,Shared,Integrated,Wi-Fi,802.11.be,1.0,No Optical Drive,Windows 11 Home,Yes,57 Watt Hours,4.0,"Laptop, Lenovo Digital Pen 2, Power Adapter, User guide",1 kg 500 g,Premium,2.0
